======================================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (Picard)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 250, PICARD_TOL = 1e-06
  DAMPING = 0.1
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
Problem Specific Parameters:
  light_position = 0.5, light_active_interval = [0.3, 0.7]
  light_penalty = 150.0, light_width = 0.05
  Hamiltonian = Godunov discretization of 0.5*p^2, boundary = conservative homogeneous Neumann
  initial_density = normalized exp(-(x-0.1)^2/0.01)
  terminal_cost = 5.0*(x-1.0)^2
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
96    | 7.7695e-05   | 4.6915e-05   | 1.7796e-04   | 1.4872e-04   | 407        | 0.1760
97    | 7.1319e-05   | 4.3064e-05   | 1.4842e-04   | 1.2403e-04   | 407        | 0.1721
98    | 6.7907e-05   | 4.1001e-05   | 9.3274e-05   | 7.7950e-05   | 407        | 0.1708
99    | 6.3053e-05   | 3.8069e-05   | 6.3542e-05   | 5.3103e-05   | 407        | 0.1650
100   | 5.4956e-05   | 3.3180e-05   | 8.4344e-05   | 7.0488e-05   | 407        | 0.1693
101   | 4.5999e-05   | 2.7771e-05   | 9.6834e-05   | 8.0926e-05   | 407        | 0.1739
102   | 3.9703e-05   | 2.3970e-05   | 8.4788e-05   | 7.0859e-05   | 407        | 0.1716
103   | 3.6379e-05   | 2.1962e-05   | 6.2428e-05   | 5.2172e-05   | 407        | 0.1680
104   | 3.3402e-05   | 2.0165e-05   | 5.3594e-05   | 4.4789e-05   | 407        | 0.1677
105   | 2.9583e-05   | 1.7859e-05   | 5.7779e-05   | 4.8286e-05   | 407        | 0.1636
106   | 2.6245e-05   | 1.5844e-05   | 5.4980e-05   | 4.5948e-05   | 407        | 0.1598
107   | 2.4633e-05   | 1.4870e-05   | 4.1443e-05   | 3.4634e-05   | 407        | 0.1734
108   | 2.3747e-05   | 1.4335e-05   | 2.9232e-05   | 2.4430e-05   | 407        | 0.1711
109   | 2.1970e-05   | 1.3262e-05   | 3.2100e-05   | 2.6826e-05   | 407        | 0.1737
110   | 1.9146e-05   | 1.1558e-05   | 3.7467e-05   | 3.1311e-05   | 407        | 0.1723
111   | 1.6386e-05   | 9.8910e-06   | 3.4230e-05   | 2.8607e-05   | 407        | 0.1632
112   | 1.4578e-05   | 8.8000e-06   | 2.3916e-05   | 1.9987e-05   | 407        | 0.1670
113   | 1.3360e-05   | 8.0647e-06   | 1.6345e-05   | 1.3660e-05   | 407        | 0.1635
114   | 1.1999e-05   | 7.2431e-06   | 1.9620e-05   | 1.6396e-05   | 407        | 0.1656
115   | 1.0547e-05   | 6.3661e-06   | 2.2875e-05   | 1.9117e-05   | 407        | 0.1606
116   | 9.5756e-06   | 5.7800e-06   | 2.0191e-05   | 1.6874e-05   | 407        | 0.1639
117   | 9.1496e-06   | 5.5228e-06   | 1.3397e-05   | 1.1196e-05   | 407        | 0.1674
118   | 8.6695e-06   | 5.2330e-06   | 9.1363e-06   | 7.6353e-06   | 407        | 0.1564
119   | 7.7497e-06   | 4.6778e-06   | 1.1684e-05   | 9.7644e-06   | 407        | 0.1561
120   | 6.6072e-06   | 3.9882e-06   | 1.3589e-05   | 1.1356e-05   | 407        | 0.1545
121   | 5.7211e-06   | 3.4533e-06   | 1.2020e-05   | 1.0045e-05   | 407        | 0.1561
122   | 5.2282e-06   | 3.1557e-06   | 8.5268e-06   | 7.1259e-06   | 407        | 0.1558
123   | 4.8164e-06   | 2.9072e-06   | 6.6048e-06   | 5.5197e-06   | 407        | 0.1623
124   | 4.2634e-06   | 2.5734e-06   | 7.2887e-06   | 6.0913e-06   | 407        | 0.1657
125   | 3.6912e-06   | 2.2280e-06   | 7.4366e-06   | 6.2148e-06   | 407        | 0.1669
126   | 3.3184e-06   | 2.0030e-06   | 5.9964e-06   | 5.0113e-06   | 407        | 0.1614
127   | 3.1143e-06   | 1.8798e-06   | 4.2442e-06   | 3.5469e-06   | 407        | 0.1539
128   | 2.8656e-06   | 1.7297e-06   | 4.1784e-06   | 3.4920e-06   | 407        | 0.1603
129   | 2.4874e-06   | 1.5014e-06   | 4.8793e-06   | 4.0777e-06   | 407        | 0.1650
130   | 2.0888e-06   | 1.2608e-06   | 4.6520e-06   | 3.8877e-06   | 407        | 0.1557
131   | 1.8131e-06   | 1.0944e-06   | 3.4305e-06   | 2.8669e-06   | 407        | 0.1656
132   | 1.6584e-06   | 1.0010e-06   | 2.2507e-06   | 1.8810e-06   | 407        | 0.1658
133   | 1.5239e-06   | 9.1980e-07   | 2.3835e-06   | 1.9919e-06   | 407        | 0.1706
134   | 1.3823e-06   | 8.3437e-07   | 2.8470e-06   | 2.3792e-06   | 407        | 0.1614
135   | 1.2860e-06   | 7.7620e-07   | 2.6590e-06   | 2.2222e-06   | 407        | 0.1574
136   | 1.2466e-06   | 7.5242e-07   | 1.9265e-06   | 1.6100e-06   | 407        | 0.1577
137   | 1.2006e-06   | 7.2467e-07   | 1.3346e-06   | 1.1153e-06   | 407        | 0.1560
138   | 1.0989e-06   | 6.6331e-07   | 1.4527e-06   | 1.2141e-06   | 407        | 0.1561
139   | 9.5827e-07   | 5.7840e-07   | 1.6424e-06   | 1.3726e-06   | 407        | 0.1551
140   | 8.2975e-07   | 5.0083e-07   | 1.4872e-06   | 1.2429e-06   | 407        | 0.1568
141   | 7.3685e-07   | 4.4476e-07   | 1.1493e-06   | 9.6052e-07   | 407        | 0.1566
----------------------------------------------------------------------------------------------------------------------
CONVERGED at nu=0.02 in 141 iterations.
Maximum mass error: 6.661338e-16
Minimum density: 6.372178e-35
Total Execution Time: 25.7415 seconds.
